source,target,category,status,first_use,notes
warehouse-scale computer,仓库规模计算机,core,draft,chapter_5,"First use: 仓库规模计算机（WSC）; later WSC is acceptable."
WSC,仓库规模计算机（WSC）,abbreviation,draft,chapter_5,"Keep WSC after first expansion."
data center,数据中心,core,draft,chapter_5,"Use consistently; do not translate as 数据机房 unless context specifically means room."
data center infrastructure,数据中心基础设施,core,draft,chapter_5,
data center campus,数据中心园区,core,draft,chapter_5,
data center building,数据中心建筑,construction,draft,chapter_5,
critical power,关键负载功率,power,draft,chapter_5,"Means continuous power supplied to IT equipment."
critical load,关键负载,power,draft,chapter_5,
colocation data center,托管数据中心,core,draft,chapter_5,"May retain colo in parentheses on first use."
colo,colo,abbreviation,draft,chapter_5,"Keep as industry shorthand after explaining as 托管数据中心."
mechanical yard,机械设备区,construction,draft,chapter_5,
electrical yard,电气设备区,construction,draft,chapter_5,
central utility building,中央公用设施楼,construction,draft,chapter_5,
server hall,服务器大厅,core,draft,chapter_5,
server floor,服务器楼层,core,draft,chapter_5,
hot aisle,热通道,cooling,draft,chapter_5,
cold aisle,冷通道,cooling,draft,chapter_5,
hot aisle containment,热通道封闭,cooling,draft,chapter_5,
facility management network,设施管理网络,networking,draft,chapter_5,
inter-cluster connectivity,集群间连接,networking,draft,chapter_5,
campus-level connectivity,园区级连接,networking,draft,chapter_5,
long-haul connectivity,长途连接,networking,draft,chapter_5,
Uptime Institute,Uptime Institute,proper_noun,draft,chapter_5,"Keep English."
Tier I data center,Tier I 数据中心,standard,draft,chapter_5,"Keep Tier labels in English."
Tier II data center,Tier II 数据中心,standard,draft,chapter_5,
Tier III data center,Tier III 数据中心,standard,draft,chapter_5,
Tier IV data center,Tier IV 数据中心,standard,draft,chapter_5,
concurrently maintainable,可并发维护,reliability,draft,chapter_5,
availability,可用性,reliability,draft,chapter_5,
uptime,正常运行时间,reliability,draft,chapter_5,
redundancy,冗余,reliability,draft,chapter_5,
hyperscale workload,超大规模工作负载,workload,draft,chapter_5,
ML workload,机器学习工作负载,workload,draft,chapter_5,"ML may be kept when paired with AI/ML."
AI/ML workload,AI/ML 工作负载,workload,draft,chapter_5,
bulk-synchronous,批量同步,workload,draft,chapter_5,
checkpoint-restarting,检查点重启,workload,draft,chapter_5,
SLO,服务水平目标（SLO）,abbreviation,draft,chapter_5,"After first expansion, keep SLO."
power density,功率密度,power,draft,chapter_5,
accelerator system,加速器系统,hardware,draft,chapter_5,
rack,机架,hardware,draft,chapter_5,
power subsystem,供电子系统,power,draft,chapter_5,
cooling subsystem,制冷子系统,cooling,draft,chapter_5,
utility substation,公用电网变电站,power,draft,chapter_5,
medium voltage,中压,power,draft,chapter_5,
low voltage,低压,power,draft,chapter_5,
primary switchgear,主开关设备,power,draft,chapter_5,
transformer,变压器,power,draft,chapter_5,
